--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-08-31 16:56:39

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) Iter   Sample   GA Params                                                                       
------------ --------------- ------------------ ------------------------- ------ -------- -------------------------------------------------------------------------------- 
32           P6_3mc          hexagonal          -4.826398                 5          2        48       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 8.067), SC:2x2x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          3        24       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 19.245), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          2        18       D1:1.000, R21:0.000, Cell:(0.000, 0.000, 0.000, 0.000, -14.064, 0.000), SC:1x1x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 4          3        13       D1:0.250, R21:0.000, Cell:(-0.070, -0.070, 0.368, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          1        92       D1:3.770, R21:-0.983, Cell:(0.007, -0.357, -0.244, 4.315, -9.048, 4.668), SC:2x2x1, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        14       D1:1.000, R21:0.814, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 2          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 3          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 5          1        7        D1:0.250, R21:-0.250, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 2          3        37       D1:1.380, R21:0.000, Cell:(-0.153, -0.344, 0.070, 0.000, 0.000, -5.125), SC:2x2x1, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 5          3        2        D1:1.083, R21:0.000, Cell:(0.041, -0.070, -0.070, 0.000, 0.000, 11.830), SC:2x2x2, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 5          2        28       D1:1.000, R21:0.000, Cell:(0.221, 0.000, 0.000, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          3        15       D1:1.000, R21:0.000, Cell:(0.070, 0.315, -0.054, 0.000, 0.000, 0.000), SC:2x1x1, PhFactor:False
8            P6_3mc          hexagonal          -4.826398                 2          2        4        D1:1.000, R21:-0.678, Cell:(0.070, 0.070, 0.070, 0.000, 0.000, 0.000), SC:1x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        41       D1:1.000, R21:0.000, Cell:(-0.070, -0.070, 0.070, -18.263, 0.000, 0.000), SC:1x1x2, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          3        41       D1:1.000, R21:-0.250, Cell:(-0.070, -0.070, -0.070, 0.000, 0.000, 0.000), SC:2x1x2, PhFactor:True
8            P6_3mc          hexagonal          -4.826398                 4          2        43       D1:0.250, R21:-0.226, Cell:(-0.070, -0.070, -0.160, 0.000, 0.000, 26.688), SC:1x1x2, PhFactor:True
32           P6_3mc          hexagonal          -4.826398                 4          1        65       D1:2.049, R21:-0.594, Cell:(0.437, 0.047, 0.444, -11.080, 43.735, -21.528), SC:2x2x2, PhFactor:False
16           P6_3mc          hexagonal          -4.826398                 4          2        9        D1:0.250, R21:-1.037, Cell:(0.070, 0.070, 0.031, 0.000, 0.000, 24.219), SC:2x2x1, PhFactor:True
16           P6_3mc          hexagonal          -4.826398                 4          3        46       D1:1.000, R21:-0.250, Cell:(-0.070, 0.075, -0.111, 0.000, 0.000, 0.000), SC:2x2x1, PhFactor:True
